Area,Order,SeasonalOrder
Chamba,"(2, 0, 1)","(0, 1, 1, 12)"
Hamirpur,"(2, 0, 1)","(0, 1, 2, 12)"
Kangra,"(2, 0, 1)","(0, 1, 1, 12)"
Kinnaur,"(2, 0, 1)","(0, 1, 1, 12)"
Kullu,"(2, 0, 1)","(0, 1, 1, 12)"
Lahul & Spiti,"(1, 0, 1)","(0, 1, 1, 12)"
Mandi,"(2, 0, 1)","(0, 1, 1, 12)"
Shimla,"(2, 0, 1)","(0, 1, 1, 12)"
Sirmaur,"(2, 0, 1)","(0, 1, 1, 12)"
Solan,"(2, 0, 1)","(0, 1, 1, 12)"
Una,"(2, 0, 1)","(0, 1, 2, 12)"

