Area,Order,SeasonalOrder
Chamba,"(0,0,2)","(0,1,1,12)"
Hamirpur,"(0,0,2)","(0,1,1,12)"
Kangra,"(0,0,2)","(0,1,1,12)"
Kinnaur,"(0,0,2)","(0,1,1,12)"
Kullu,"(0,0,2)","(0,1,1,12)"
Lahul & Spiti,"(0,0,2)","(0,1,1,12)"
Mandi,"(0,0,2)","(0,1,1,12)"
Shimla,"(0,0,2)","(0,1,1,12)"
Sirmaur,"(0,0,2)","(2,1,1,12)"
Solan,"(0,0,2)","(0,1,1,12)"
Una,"(0,0,2)","(0,1,1,12)"
