Area,Month,Rainfall
Chamba,1915-7-1,342.68
Chamba,1915-8-1,203.358
Chamba,1915-9-1,121.906
Chamba,1915-10-1,11.006
Chamba,1915-11-1,0.276
Chamba,1915-12-1,0.32
Chamba,1916-1-1,12.17
Chamba,1916-2-1,16.335
Chamba,1916-3-1,23.648
Chamba,1916-4-1,37.189
Chamba,1916-5-1,33.92
Chamba,1916-6-1,178.791
Chamba,1916-7-1,169.574
Chamba,1916-8-1,477.537
Chamba,1916-9-1,268.544
Chamba,1916-10-1,25.224
Chamba,1916-11-1,0
Chamba,1916-12-1,19.021
Chamba,1917-1-1,3.192
Chamba,1917-2-1,2.533
Chamba,1917-3-1,45.648
Chamba,1917-4-1,41.132
Chamba,1917-5-1,4.104
Chamba,1917-6-1,67.916
Chamba,1917-7-1,128.04
Chamba,1917-8-1,87.698
Chamba,1917-9-1,57.381
Chamba,1917-10-1,0.715
Chamba,1917-11-1,20.021
Chamba,1917-12-1,26.519
Chamba,1918-1-1,73.434
Chamba,1918-2-1,23.19
Chamba,1918-3-1,35.14
Chamba,1918-4-1,25.645
Chamba,1918-5-1,15.923
Chamba,1918-6-1,25.847
Chamba,1918-7-1,188.142
Chamba,1918-8-1,120.499
Chamba,1918-9-1,69.207
Chamba,1918-10-1,5.836
Chamba,1918-11-1,2.292
Chamba,1918-12-1,12.366
Chamba,1919-1-1,44.868
Chamba,1919-2-1,34.492
Chamba,1919-3-1,36.072
Chamba,1919-4-1,43.767
Chamba,1919-5-1,21.504
Chamba,1919-6-1,69.792
Chamba,1919-7-1,80.624
Chamba,1919-8-1,89.765
Chamba,1919-9-1,142.077
Chamba,1919-10-1,2.065
Chamba,1919-11-1,0
Chamba,1919-12-1,0.724
Chamba,1920-1-1,26.683
Chamba,1920-2-1,2.056
Chamba,1920-3-1,8.005
Chamba,1920-4-1,13.67
Chamba,1920-5-1,49.023
Chamba,1920-6-1,110.731
Chamba,1920-7-1,154.713
Chamba,1920-8-1,234.277
Chamba,1920-9-1,98.664
Chamba,1920-10-1,21.64
Chamba,1920-11-1,0
Chamba,1920-12-1,39.744
Chamba,1921-1-1,37.755
Chamba,1921-2-1,46.008
Chamba,1921-3-1,29.158
Chamba,1921-4-1,14.533
Chamba,1921-5-1,33.297
Chamba,1921-6-1,65.797
Chamba,1921-7-1,113.059
Chamba,1921-8-1,196.82
Chamba,1921-9-1,278
Chamba,1921-10-1,8.798
Chamba,1921-11-1,3.392
Chamba,1921-12-1,58.077
Chamba,1922-1-1,35.186
Chamba,1922-2-1,66.427
Chamba,1922-3-1,10.677
Chamba,1922-4-1,22.915
Chamba,1922-5-1,21.187
Chamba,1922-6-1,12.067
Chamba,1922-7-1,457.719
Chamba,1922-8-1,279.177
Chamba,1922-9-1,71.535
Chamba,1922-10-1,19.175
Chamba,1922-11-1,13.582
Chamba,1922-12-1,33.361
Chamba,1923-1-1,60.006
Chamba,1923-2-1,76.202
Chamba,1923-3-1,20.656
Chamba,1923-4-1,11.304
Chamba,1923-5-1,30.848
Chamba,1923-6-1,14.747
Chamba,1923-7-1,252.721
Chamba,1923-8-1,88.061
Chamba,1923-9-1,280.725
Chamba,1923-10-1,15.853
Chamba,1923-11-1,1.677
Chamba,1923-12-1,64.905
Chamba,1924-1-1,19.727
Chamba,1924-2-1,6.794
Chamba,1924-3-1,5.961
Chamba,1924-4-1,7.423
Chamba,1924-5-1,27.032
Chamba,1924-6-1,139.418
Chamba,1924-7-1,265.348
Chamba,1924-8-1,303.793
Chamba,1924-9-1,52.457
Chamba,1924-10-1,3.129
Chamba,1924-11-1,21.002
Chamba,1924-12-1,0.2
Chamba,1925-1-1,26.319
Chamba,1925-2-1,10.102
Chamba,1925-3-1,57.209
Chamba,1925-4-1,24.888
Chamba,1925-5-1,19.759
Chamba,1925-6-1,50.883
Chamba,1925-7-1,177.271
Chamba,1925-8-1,202.57
Chamba,1925-9-1,129.457
Chamba,1925-10-1,1.808
Chamba,1925-11-1,8.686
Chamba,1925-12-1,20.96
Chamba,1926-1-1,3.422
Chamba,1926-2-1,32.166
Chamba,1926-3-1,42.835
Chamba,1926-4-1,13.278
Chamba,1926-5-1,28.65
Chamba,1926-6-1,46.839
Chamba,1926-7-1,89.917
Chamba,1926-8-1,319.435
Chamba,1926-9-1,84.221
Chamba,1926-10-1,22.244
Chamba,1926-11-1,0.116
Chamba,1926-12-1,28.163
Chamba,1927-1-1,35.09
Chamba,1927-2-1,43.908
Chamba,1927-3-1,18.124
Chamba,1927-4-1,27.703
Chamba,1927-5-1,4.55
Chamba,1927-6-1,33.357
Chamba,1927-7-1,154.697
Chamba,1927-8-1,146.511
Chamba,1927-9-1,336.394
Chamba,1927-10-1,0.24
Chamba,1927-11-1,20.5
Chamba,1927-12-1,25.272
Chamba,1928-1-1,39.547
Chamba,1928-2-1,2.893
Chamba,1928-3-1,6.649
Chamba,1928-4-1,17.831
Chamba,1928-5-1,9.044
Chamba,1928-6-1,124.31
Chamba,1928-7-1,212.203
Chamba,1928-8-1,235.933
Chamba,1928-9-1,18.079
Chamba,1928-10-1,8.153
Chamba,1928-11-1,0
Chamba,1928-12-1,58.509
Chamba,1929-1-1,69.434
Chamba,1929-2-1,13.882
Chamba,1929-3-1,7.517
Chamba,1929-4-1,25.197
Chamba,1929-5-1,8.587
Chamba,1929-6-1,32.303
Chamba,1929-7-1,246.37
Chamba,1929-8-1,145.513
Chamba,1929-9-1,29.241
Chamba,1929-10-1,6.404
Chamba,1929-11-1,9.598
Chamba,1929-12-1,15.179
Chamba,1930-1-1,46.403
Chamba,1930-2-1,59.763
Chamba,1930-3-1,21.334
Chamba,1930-4-1,48.027
Chamba,1930-5-1,36.531
Chamba,1930-6-1,40.335
Chamba,1930-7-1,507.759
Chamba,1930-8-1,204.317
Chamba,1930-9-1,177.44
Chamba,1930-10-1,27.684
Chamba,1930-11-1,1.143
Chamba,1930-12-1,0.2
Chamba,1931-1-1,20.055
Chamba,1931-2-1,4.623
Chamba,1931-3-1,21.141
Chamba,1931-4-1,19.575
Chamba,1931-5-1,10.304
Chamba,1931-6-1,105.793
Chamba,1931-7-1,94.818
Chamba,1931-8-1,144.138
Chamba,1931-9-1,77.747
Chamba,1931-10-1,1.489
Chamba,1931-11-1,0.564
Chamba,1931-12-1,35.7
Chamba,1932-1-1,22.9
Chamba,1932-2-1,31.44
Chamba,1932-3-1,33.902
Chamba,1932-4-1,21.317
Chamba,1932-5-1,17.741
Chamba,1932-6-1,69.162
Chamba,1932-7-1,164.292
Chamba,1932-8-1,426.928
Chamba,1932-9-1,147.99
Chamba,1932-10-1,20.813
Chamba,1932-11-1,13.138
Chamba,1932-12-1,2.938
Chamba,1933-1-1,31.634
Chamba,1933-2-1,15.503
Chamba,1933-3-1,23.39
Chamba,1933-4-1,3.578
Chamba,1933-5-1,8.369
Chamba,1933-6-1,40.298
Chamba,1933-7-1,272.023
Chamba,1933-8-1,322.633
Chamba,1933-9-1,19.979
Chamba,1933-10-1,0.049
Chamba,1933-11-1,0
Chamba,1933-12-1,27.648
Chamba,1934-1-1,71.925
Chamba,1934-2-1,57.525
Chamba,1934-3-1,20.849
Chamba,1934-4-1,36.868
Chamba,1934-5-1,31.458
Chamba,1934-6-1,4.215
Chamba,1934-7-1,84.431
Chamba,1934-8-1,139.948
Chamba,1934-9-1,74.797
Chamba,1934-10-1,3.518
Chamba,1934-11-1,22.373
Chamba,1934-12-1,18.371
Chamba,1935-1-1,17.567
Chamba,1935-2-1,58.709
Chamba,1935-3-1,77.18
Chamba,1935-4-1,32.912
Chamba,1935-5-1,18.737
Chamba,1935-6-1,275.422
Chamba,1935-7-1,465.983
Chamba,1935-8-1,166.241
Chamba,1935-9-1,71.624
Chamba,1935-10-1,20.25
Chamba,1935-11-1,2.829
Chamba,1935-12-1,45.379
Chamba,1936-1-1,18.686
Chamba,1936-2-1,77.736
Chamba,1936-3-1,27.573
Chamba,1936-4-1,34.842
Chamba,1936-5-1,24.602
Chamba,1936-6-1,57.653
Chamba,1936-7-1,352.461
Chamba,1936-8-1,63.552
Chamba,1936-9-1,119.515
Chamba,1936-10-1,21.998
Chamba,1936-11-1,1.837
Chamba,1936-12-1,25.193
Chamba,1937-1-1,68.167
Chamba,1937-2-1,29.14
Chamba,1937-3-1,4.335
Chamba,1937-4-1,10.347
Chamba,1937-5-1,1.844
Chamba,1937-6-1,168.131
Chamba,1937-7-1,163.032
Chamba,1937-8-1,213.235
Chamba,1937-9-1,31.621
Chamba,1937-10-1,9.694
Chamba,1937-11-1,1.594
Chamba,1937-12-1,6.61
Chamba,1938-1-1,36.678
Chamba,1938-2-1,63.24
Chamba,1938-3-1,49.217
Chamba,1938-4-1,25.35
Chamba,1938-5-1,9.935
Chamba,1938-6-1,49.69
Chamba,1938-7-1,166.715
Chamba,1938-8-1,94.256
Chamba,1938-9-1,44.7
Chamba,1938-10-1,16.674
Chamba,1938-11-1,0.159
Chamba,1938-12-1,0.341
Chamba,1939-1-1,38.162
Chamba,1939-2-1,48.433
Chamba,1939-3-1,42.809
Chamba,1939-4-1,27.228
Chamba,1939-5-1,24.955
Chamba,1939-6-1,137.633
Chamba,1939-7-1,105.196
Chamba,1939-8-1,228.371
Chamba,1939-9-1,131.739
Chamba,1939-10-1,2.832
Chamba,1939-11-1,3.118
Chamba,1939-12-1,12.031
Chamba,1940-1-1,34.076
Chamba,1940-2-1,31.058
Chamba,1940-3-1,13.02
Chamba,1940-4-1,30.988
Chamba,1940-5-1,42.013
Chamba,1940-6-1,65.413
Chamba,1940-7-1,148.904
Chamba,1940-8-1,61.989
Chamba,1940-9-1,268.363
Chamba,1940-10-1,1.37
Chamba,1940-11-1,5.06
Chamba,1940-12-1,22.218
Chamba,1941-1-1,67.006
Chamba,1941-2-1,81.873
Chamba,1941-3-1,13.627
Chamba,1941-4-1,38.619
Chamba,1941-5-1,36.497
Chamba,1941-6-1,70.4
Chamba,1941-7-1,332.377
Chamba,1941-8-1,201.321
Chamba,1941-9-1,108.426
Chamba,1941-10-1,5.225
Chamba,1941-11-1,4.701
Chamba,1941-12-1,29.654
Chamba,1942-1-1,27.464
Chamba,1942-2-1,6.068
Chamba,1942-3-1,20.514
Chamba,1942-4-1,24.751
Chamba,1942-5-1,6.577
Chamba,1942-6-1,95.628
Chamba,1942-7-1,70.992
Chamba,1942-8-1,112.787
Chamba,1942-9-1,168.101
Chamba,1942-10-1,0.049
Chamba,1942-11-1,0
Chamba,1942-12-1,0.2
Chamba,1943-1-1,55.661
Chamba,1943-2-1,48.782
Chamba,1943-3-1,31.938
Chamba,1943-4-1,22.579
Chamba,1943-5-1,9.277
Chamba,1943-6-1,110.932
Chamba,1943-7-1,143.344
Chamba,1943-8-1,261.931
Chamba,1943-9-1,135.278
Chamba,1943-10-1,1.984
Chamba,1943-11-1,11.541
Chamba,1943-12-1,15.426
Chamba,1944-1-1,43.173
Chamba,1944-2-1,6.173
Chamba,1944-3-1,51.089
Chamba,1944-4-1,55.924
Chamba,1944-5-1,18.55
Chamba,1944-6-1,137.555
Chamba,1944-7-1,365.818
Chamba,1944-8-1,115.014
Chamba,1944-9-1,217.803
Chamba,1944-10-1,25.989
Chamba,1944-11-1,0.165
Chamba,1944-12-1,11.39
Chamba,1945-1-1,5.857
Chamba,1945-2-1,19.439
Chamba,1945-3-1,11.676
Chamba,1945-4-1,21.996
Chamba,1945-5-1,28.202
Chamba,1945-6-1,84.994
Chamba,1945-7-1,166.787
Chamba,1945-8-1,124.344
Chamba,1945-9-1,51.099
Chamba,1945-10-1,15.227
Chamba,1945-11-1,13.497
Chamba,1945-12-1,16.578
Chamba,1946-1-1,23.34
Chamba,1946-2-1,28.964
Chamba,1946-3-1,26.796
Chamba,1946-4-1,5.163
Chamba,1946-5-1,23.832
Chamba,1946-6-1,44.521
Chamba,1946-7-1,196.684
Chamba,1946-8-1,284.613
Chamba,1946-9-1,80.854
Chamba,1946-10-1,20.37
Chamba,1946-11-1,1.376
Chamba,1946-12-1,33.732
Chamba,1947-1-1,10.24
Chamba,1947-2-1,52.725
Chamba,1947-3-1,79.169
Chamba,1947-4-1,24.352
Chamba,1947-5-1,24.313
Chamba,1947-6-1,148.542
Chamba,1947-7-1,373.962
Chamba,1947-8-1,284.198
Chamba,1947-9-1,123.793
Chamba,1947-10-1,6.497
Chamba,1947-11-1,0.515
Chamba,1947-12-1,15.305
Chamba,1948-1-1,24.762
Chamba,1948-2-1,73.716
Chamba,1948-3-1,23.405
Chamba,1948-4-1,25.602
Chamba,1948-5-1,27.62
Chamba,1948-6-1,69.582
Chamba,1948-7-1,211.971
Chamba,1948-8-1,147.305
Chamba,1948-9-1,112.806
Chamba,1948-10-1,10.929
Chamba,1948-11-1,1.609
Chamba,1948-12-1,4.539
Chamba,1949-1-1,144.94
Chamba,1949-2-1,37.315
Chamba,1949-3-1,57.635
Chamba,1949-4-1,21.176
Chamba,1949-5-1,32.784
Chamba,1949-6-1,71.74
Chamba,1949-7-1,345.42
Chamba,1949-8-1,206.979
Chamba,1949-9-1,335.604
Chamba,1949-10-1,2.37
Chamba,1949-11-1,2.305
Chamba,1949-12-1,2.186
Chamba,1950-1-1,38.92
Chamba,1950-2-1,56.644
Chamba,1950-3-1,48.579
Chamba,1950-4-1,24.233
Chamba,1950-5-1,33.426
Chamba,1950-6-1,123.343
Chamba,1950-7-1,125.597
Chamba,1950-8-1,231.888
Chamba,1950-9-1,85.403
Chamba,1950-10-1,8.834
Chamba,1950-11-1,30.083
Chamba,1950-12-1,6.366
Chamba,1951-1-1,40.807
Chamba,1951-2-1,35.394
Chamba,1951-3-1,54.66
Chamba,1951-4-1,15.187
Chamba,1951-5-1,24.381
Chamba,1951-6-1,53.023
Chamba,1951-7-1,89.996
Chamba,1951-8-1,103.529
Chamba,1951-9-1,9.527
Chamba,1951-10-1,1.11
Chamba,1951-11-1,9.014
Chamba,1951-12-1,34.44
Chamba,1952-1-1,53.917
Chamba,1952-2-1,35.842
Chamba,1952-3-1,49.462
Chamba,1952-4-1,21.622
Chamba,1952-5-1,4.377
Chamba,1952-6-1,90.437
Chamba,1952-7-1,453.855
Chamba,1952-8-1,192.076
Chamba,1952-9-1,230.867
Chamba,1952-10-1,19.176
Chamba,1952-11-1,3.115
Chamba,1952-12-1,28.589
Chamba,1953-1-1,44.606
Chamba,1953-2-1,95.791
Chamba,1953-3-1,10.79
Chamba,1953-4-1,5.64
Chamba,1953-5-1,39.425
Chamba,1953-6-1,72.216
Chamba,1953-7-1,184.63
Chamba,1953-8-1,98.602
Chamba,1953-9-1,481.319
Chamba,1953-10-1,14.31
Chamba,1953-11-1,0
Chamba,1953-12-1,6.481
Chamba,1954-1-1,41.979
Chamba,1954-2-1,3.258
Chamba,1954-3-1,77.115
Chamba,1954-4-1,22.605
Chamba,1954-5-1,37.238
Chamba,1954-6-1,46.259
Chamba,1954-7-1,132.015
Chamba,1954-8-1,229.082
Chamba,1954-9-1,197.356
Chamba,1954-10-1,33.558
Chamba,1954-11-1,0
Chamba,1954-12-1,5.037
Chamba,1955-1-1,35.82
Chamba,1955-2-1,34.737
Chamba,1955-3-1,49.22
Chamba,1955-4-1,59.861
Chamba,1955-5-1,22.755
Chamba,1955-6-1,151.748
Chamba,1955-7-1,160.406
Chamba,1955-8-1,223.475
Chamba,1955-9-1,21.879
Chamba,1955-10-1,43.816
Chamba,1955-11-1,0
Chamba,1955-12-1,12.989
Chamba,1956-1-1,100.476
Chamba,1956-2-1,19.879
Chamba,1956-3-1,42.728
Chamba,1956-4-1,75.119
Chamba,1956-5-1,21.622
Chamba,1956-6-1,75.912
Chamba,1956-7-1,96.951
Chamba,1956-8-1,479.898
Chamba,1956-9-1,72.924
Chamba,1956-10-1,38.393
Chamba,1956-11-1,26.705
Chamba,1956-12-1,45.573
Chamba,1957-1-1,26.429
Chamba,1957-2-1,12.351
Chamba,1957-3-1,24.518
Chamba,1957-4-1,23.055
Chamba,1957-5-1,20.029
Chamba,1957-6-1,46.295
Chamba,1957-7-1,131.184
Chamba,1957-8-1,237.814
Chamba,1957-9-1,222.558
Chamba,1957-10-1,23.213
Chamba,1957-11-1,2.251
Chamba,1957-12-1,47.143
Chamba,1958-1-1,44.821
Chamba,1958-2-1,25.044
Chamba,1958-3-1,32.455
Chamba,1958-4-1,14.312
Chamba,1958-5-1,93.19
Chamba,1958-6-1,24.363
Chamba,1958-7-1,564.831
Chamba,1958-8-1,152.514
Chamba,1958-9-1,53.016
Chamba,1958-10-1,18.528
Chamba,1958-11-1,32.635
Chamba,1958-12-1,3.513
Chamba,1959-1-1,25.775
Chamba,1959-2-1,10.459
Chamba,1959-3-1,34.06
Chamba,1959-4-1,22.962
Chamba,1959-5-1,33.898
Chamba,1959-6-1,95.32
Chamba,1959-7-1,266.61
Chamba,1959-8-1,198.198
Chamba,1959-9-1,65.411
Chamba,1959-10-1,16.364
Chamba,1959-11-1,0
Chamba,1959-12-1,11.876
Chamba,1960-1-1,114.969
Chamba,1960-2-1,36.258
Chamba,1960-3-1,20.426
Chamba,1960-4-1,24.628
Chamba,1960-5-1,12.005
Chamba,1960-6-1,54.451
Chamba,1960-7-1,257.878
Chamba,1960-8-1,129.684
Chamba,1960-9-1,132.053
Chamba,1960-10-1,16.898
Chamba,1960-11-1,4.046
Chamba,1960-12-1,27.218
Chamba,1961-1-1,48.517
Chamba,1961-2-1,31.185
Chamba,1961-3-1,27.452
Chamba,1961-4-1,16.456
Chamba,1961-5-1,11.609
Chamba,1961-6-1,6.544
Chamba,1961-7-1,195.535
Chamba,1961-8-1,118.774
Chamba,1961-9-1,308.52
Chamba,1961-10-1,0.063
